,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.9667,102.5,-19.53,99,97,3.71,overcast clouds
1,Nyuksenitsa,RU,60.4128,44.2397,24.76,97,100,5.55,overcast clouds
2,Touros,BR,-5.1989,-35.4608,86.65,60,100,15.32,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,64.02,51,40,5.75,scattered clouds
4,Victoria,HK,22.2855,114.1577,66.38,80,81,15.01,broken clouds
5,Lebu,CL,-37.6167,-73.65,63.63,63,0,20.62,clear sky
6,Provideniya,RU,64.3833,-173.3,9.23,94,56,12.28,broken clouds
7,Hermanus,ZA,-34.4187,19.2345,72.81,62,0,10.54,clear sky
8,Clearwater,US,27.9659,-82.8001,76.14,82,0,3.44,clear sky
9,Severo-Kurilsk,RU,50.6789,156.125,28.54,93,100,44.16,snow
10,Marzuq,YE,14.4,46.4667,72.57,43,6,8.12,clear sky
11,Seymchan,RU,62.8833,152.4333,-24.48,100,96,1.32,overcast clouds
12,Stornoway,GB,58.2093,-6.3865,49.96,94,100,32.21,overcast clouds
13,Aljojuca,MX,19.1,-97.5167,55.15,48,6,3.11,clear sky
14,Norman Wells,CA,65.282,-126.8329,-41.76,66,0,3.44,clear sky
15,Jamestown,US,42.097,-79.2353,26.55,66,0,11.5,clear sky
16,Cabo San Lucas,MX,22.8909,-109.9124,63.61,74,0,8.05,clear sky
17,Hobyo,SO,5.3505,48.5268,77.13,65,96,18.88,overcast clouds
18,La Reforma,MX,25.0833,-108.05,56.23,79,8,8.75,clear sky
19,Havelock,US,34.8791,-76.9013,42.75,91,100,9.22,mist
20,Henties Bay,NA,-22.116,14.2845,67.6,75,40,10.56,scattered clouds
21,Rikitea,PF,-23.1203,-134.9692,78.75,73,10,17.13,clear sky
22,Mataura,NZ,-46.1927,168.8643,62.26,97,100,2.98,light rain
23,Talaya,RU,61.3833,152.75,-28.19,100,95,0.98,overcast clouds
24,Tomatlan,MX,19.9333,-105.25,72.28,45,92,1.43,overcast clouds
25,Isiro,CD,2.7739,27.616,89.1,28,88,3.67,overcast clouds
26,Geraldton,AU,-28.7667,114.6,75.61,73,47,6.91,scattered clouds
27,Cidreira,BR,-30.1811,-50.2056,80.82,69,4,9.66,clear sky
28,Qaanaaq,GL,77.484,-69.3632,-4.18,58,2,9.69,clear sky
29,Georgetown,MY,5.4112,100.3354,78.73,94,40,3.44,scattered clouds
30,Sinjar,IQ,36.3209,41.8754,44.13,75,96,15.86,overcast clouds
31,New Norfolk,AU,-42.7826,147.0587,47.71,79,75,2.86,broken clouds
32,Beloha,MG,-25.1667,45.05,75.97,73,67,16.62,broken clouds
33,Greenville,US,35.6127,-77.3663,36.14,97,100,5.75,light intensity drizzle
34,Itatinga,BR,-23.1017,-48.6158,71.49,80,95,4.27,overcast clouds
35,Harper,LR,4.375,-7.7169,84.02,71,32,7.07,light rain
36,Puerto Ayora,EC,-0.7393,-90.3518,84.16,92,36,5.99,scattered clouds
37,Antofagasta,CL,-23.65,-70.4,72.68,69,25,7.4,scattered clouds
38,Albany,US,42.6001,-73.9662,28.4,59,90,3.0,overcast clouds
39,Calabozo,VE,8.9242,-67.4293,87.49,36,3,10.11,clear sky
40,Shelburne,CA,44.0787,-80.2041,21.6,86,73,19.6,broken clouds
41,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,73,85,11.39,overcast clouds
42,Waipawa,NZ,-41.4122,175.5153,62.22,87,97,4.23,moderate rain
43,Kahului,US,20.8947,-156.47,74.84,88,0,5.01,clear sky
44,Bluff,NZ,-46.6,168.3333,61.92,97,100,9.08,overcast clouds
45,San Cristobal,VE,7.7669,-72.225,71.78,37,14,5.64,few clouds
46,Udachnyy,RU,66.4167,112.4,-19.66,98,100,4.05,overcast clouds
47,Krasnogvardeyets,RU,52.6804,52.3635,22.23,95,100,8.03,overcast clouds
48,Bubaque,GW,11.2833,-15.8333,80.01,43,75,7.61,broken clouds
49,Lavrentiya,RU,65.5833,-171.0,2.5,94,46,8.01,scattered clouds
50,Vaini,TO,-21.2,-175.2,78.96,94,75,9.22,shower rain
51,Saskylakh,RU,71.9167,114.0833,-13.79,98,100,4.09,overcast clouds
52,Rio Gallegos,AR,-51.6226,-69.2181,71.65,35,0,11.5,clear sky
53,Upernavik,GL,72.7868,-56.1549,-11.78,84,94,5.08,overcast clouds
54,Acarau,BR,-2.8856,-40.12,85.62,64,90,13.91,overcast clouds
55,Namatanai,PG,-3.6667,152.4333,80.38,78,72,5.46,broken clouds
56,Bow Island,CA,49.8668,-111.3684,8.78,78,100,26.46,overcast clouds
57,Sandwick,GB,60.0,-1.25,46.22,93,75,13.8,moderate rain
58,Pirenopolis,BR,-15.8525,-48.9592,86.49,53,99,5.26,overcast clouds
59,Avarua,CK,-21.2078,-159.775,77.05,100,40,10.36,light rain
60,Carnarvon,AU,-24.8667,113.6333,81.77,68,19,9.28,few clouds
61,Port Blair,IN,11.6667,92.75,80.64,78,40,2.3,mist
62,Luderitz,NA,-26.6481,15.1594,75.15,55,38,31.56,scattered clouds
63,Parrita,CR,9.5201,-84.3225,83.07,48,73,2.08,broken clouds
64,Port Elizabeth,ZA,-33.918,25.5701,76.1,74,40,12.66,scattered clouds
65,Ouango,CF,4.3133,22.5552,98.92,21,75,2.51,broken clouds
66,Atuona,PF,-9.8,-139.0333,78.31,78,72,17.54,broken clouds
67,Bathsheba,BB,13.2167,-59.5167,84.81,58,40,19.57,scattered clouds
68,Bethel,US,41.3712,-73.414,33.15,49,0,9.22,clear sky
69,Fortuna,US,40.5982,-124.1573,47.32,49,0,13.8,clear sky
70,Radomsko,PL,51.0671,19.4448,33.51,97,100,16.08,light snow
71,Vejen,DK,55.4833,9.15,41.38,75,20,4.61,few clouds
72,Sutto,HU,47.7589,18.4487,41.14,65,75,17.9,broken clouds
73,Lanxi,CN,29.2195,119.477,42.26,80,100,3.85,overcast clouds
74,Pevek,RU,69.7008,170.3133,-13.07,100,95,3.2,overcast clouds
75,Aksu,CN,41.1231,80.2644,20.16,81,91,4.36,overcast clouds
76,Whitehorse,CA,60.7161,-135.0538,9.37,78,100,18.41,overcast clouds
77,Butaritari,KI,3.0707,172.7902,80.19,79,100,17.92,light rain
78,Maamba,ZM,-17.3667,27.15,80.74,71,62,4.5,light rain
79,Bandarbeyla,SO,9.4942,50.8122,76.23,65,1,16.67,clear sky
80,Sobolevo,RU,54.4299,31.8996,32.05,99,100,8.9,light snow
81,Punta Arenas,CL,-53.15,-70.9167,64.51,52,0,25.32,clear sky
82,Hilo,US,19.7297,-155.09,77.29,82,0,8.05,clear sky
83,Mahebourg,MU,-20.4081,57.7,81.25,83,40,6.91,light rain
84,Hobart,AU,-42.8794,147.3294,48.06,91,92,5.75,overcast clouds
85,Trofors,NO,65.5333,13.4063,10.27,95,95,4.85,light snow
86,Talnakh,RU,69.4865,88.3972,13.21,96,100,8.97,light snow
87,Laguna,US,38.421,-121.4238,46.78,93,0,0.0,mist
88,Chicama,PE,-7.8447,-79.1469,68.54,56,81,5.86,broken clouds
89,Bredasdorp,ZA,-34.5322,20.0403,74.3,44,0,14.9,clear sky
90,Bonthe,SL,7.5264,-12.505,87.12,59,50,13.44,scattered clouds
91,Katsuura,JP,35.1333,140.3,44.78,44,100,9.42,overcast clouds
92,Hasaki,JP,35.7333,140.8333,39.6,58,100,9.44,overcast clouds
93,Itarema,BR,-2.9248,-39.9167,86.23,62,69,13.96,broken clouds
94,Saint George,US,37.1041,-113.5841,27.19,74,0,0.0,clear sky
95,Nikolskoye,RU,59.7035,30.7861,30.09,98,100,2.68,light snow
96,Tezu,IN,27.9167,96.1667,65.59,20,12,5.21,few clouds
97,Burnie,AU,-41.0667,145.9167,47.68,87,67,6.22,broken clouds
98,Leira,ES,43.1167,-8.4,57.42,56,0,1.72,clear sky
99,Melfort,CA,52.8667,-104.6177,-27.27,68,13,9.22,few clouds
100,Tiksi,RU,71.6872,128.8694,-18.45,98,99,8.37,overcast clouds
101,Benghazi,LY,32.1167,20.0667,59.22,52,88,8.55,overcast clouds
102,Katangli,RU,51.7102,143.2326,-12.33,93,100,7.31,overcast clouds
103,Port Hardy,CA,50.6996,-127.4199,42.98,75,100,24.16,overcast clouds
104,Broome,US,42.2506,-75.833,26.2,63,40,11.5,scattered clouds
105,Port Alfred,ZA,-33.5906,26.891,77.18,80,78,3.0,broken clouds
106,Chapais,CA,49.7834,-74.8492,2.98,91,100,8.55,light snow
107,Adrar,MR,20.5022,-10.0711,75.83,9,8,14.45,clear sky
108,Ponta Do Sol,PT,32.6667,-17.1,66.7,58,67,9.44,broken clouds
109,Aklavik,CA,68.2191,-135.0107,-32.8,75,75,6.91,broken clouds
110,Tashla,RU,51.7716,52.7427,19.58,88,100,8.79,overcast clouds
111,Cape Town,ZA,-33.9258,18.4232,74.12,46,0,11.01,clear sky
112,Sibolga,ID,1.7427,98.7792,77.09,89,100,2.98,overcast clouds
113,Dikson,RU,73.5069,80.5464,3.31,93,100,8.03,overcast clouds
114,Aguas Formosas,BR,-17.0822,-40.9358,86.7,52,23,3.65,few clouds
115,Kushmurun,KZ,52.4503,64.6311,4.73,88,100,6.93,overcast clouds
116,Tasiilaq,GL,65.6145,-37.6368,23.16,60,100,35.41,overcast clouds
117,Mildura,AU,-34.2,142.15,53.08,75,4,16.4,clear sky
118,Sembe,CG,1.6481,14.5806,91.63,38,63,3.38,broken clouds
119,Kalach-Na-Donu,RU,48.691,43.5264,32.0,99,100,5.32,light snow
120,Busselton,AU,-33.65,115.3333,68.65,65,0,18.37,clear sky
121,Olinda,BR,-8.0089,-34.8553,85.73,66,40,9.22,scattered clouds
122,Lagoa,PT,39.05,-27.9833,57.24,73,9,16.15,clear sky
123,Nuuk,GL,64.1835,-51.7216,12.81,79,100,18.41,light snow
124,Yellowknife,CA,62.456,-114.3525,-34.08,67,20,6.91,mist
125,Nago,JP,26.5881,127.9761,54.03,72,77,9.66,broken clouds
126,Mnogovershinnyy,RU,53.9353,139.9242,-22.38,96,42,4.43,scattered clouds
127,Jalu,LY,29.0331,21.5482,60.84,37,9,6.44,clear sky
128,Kapaa,US,22.0752,-159.319,71.92,93,75,4.61,light rain
129,Shamgarh,IN,24.1833,75.6333,63.81,32,64,7.27,broken clouds
130,Castro,BR,-24.7911,-50.0119,74.86,82,16,8.41,few clouds
131,Santa Maria,BR,-29.6842,-53.8069,87.1,62,40,8.05,scattered clouds
132,Tuatapere,NZ,-46.1333,167.6833,62.73,97,100,3.98,overcast clouds
133,Kangaatsiaq,GL,68.3065,-53.4641,-5.87,93,96,2.89,overcast clouds
134,Esperance,AU,-33.8667,121.9,62.24,72,68,12.06,broken clouds
135,Bhanvad,IN,21.9264,69.7736,71.04,22,6,9.28,clear sky
136,Chokurdakh,RU,70.6333,147.9167,-13.67,100,98,5.59,overcast clouds
137,Murgab,TM,37.4966,61.9714,51.67,66,0,0.0,clear sky
138,Taoudenni,ML,22.6783,-3.9836,70.77,11,66,16.78,broken clouds
139,Severo-Yeniseyskiy,RU,60.3725,93.0408,3.42,96,100,4.76,overcast clouds
140,Zhuhai,CN,22.2769,113.5678,69.85,82,40,14.97,scattered clouds
141,Roma,US,43.2128,-75.4557,26.82,63,100,6.91,overcast clouds
142,Torbay,CA,47.6666,-52.7314,19.38,73,75,14.97,broken clouds
143,Ribeira Grande,PT,38.5167,-28.7,63.0,67,20,14.97,few clouds
144,Kisangani,CD,0.5167,25.2,72.52,92,81,3.6,heavy intensity rain
145,Chanika,TZ,-5.4167,38.0167,78.22,62,44,7.4,scattered clouds
146,La Rioja,ES,42.25,-2.5,46.18,47,0,4.54,clear sky
147,Uyuni,BO,-20.4597,-66.825,62.73,24,5,10.13,clear sky
148,Praia,CV,14.9215,-23.5087,77.54,50,40,25.32,scattered clouds
149,Honningsvag,NO,70.9821,25.9704,26.35,93,100,11.5,light snow
150,Saint-Philippe,RE,-21.3585,55.7679,81.99,83,58,12.82,broken clouds
151,Catamarca,AR,-28.4696,-65.7852,80.78,58,60,3.0,broken clouds
152,Tornio,FI,65.8481,24.1466,19.42,93,92,8.3,overcast clouds
153,Svetlogorsk,BY,52.6333,29.7333,32.38,96,100,4.97,overcast clouds
154,Brandon,US,27.9378,-82.2859,78.26,74,0,3.0,clear sky
155,Mulege,MX,26.8833,-111.9833,57.07,66,2,7.4,clear sky
156,Pisco,PE,-13.7,-76.2167,77.05,73,0,9.22,clear sky
157,Tallahassee,US,30.4383,-84.2807,69.85,94,100,4.61,overcast clouds
158,Tura,IN,25.5198,90.2201,60.85,43,20,2.98,few clouds
159,East London,ZA,-33.0153,27.9116,76.14,73,40,12.66,light rain
160,Kuala Terengganu,MY,5.3302,103.1408,78.75,94,40,2.3,scattered clouds
161,Thompson,CA,55.7435,-97.8558,-30.84,68,0,11.5,clear sky
162,Asau,RO,46.4333,26.4,33.28,88,97,5.61,overcast clouds
163,San Jose,US,37.3394,-121.895,50.0,73,0,3.44,clear sky
164,Faanui,PF,-16.4833,-151.75,80.98,76,31,19.64,scattered clouds
165,Biak,ID,-0.9131,122.8766,75.74,84,100,5.35,overcast clouds
166,Alofi,NU,-19.0595,-169.9187,71.49,94,100,10.36,moderate rain
167,Klaksvik,FO,62.2266,-6.589,41.92,98,100,28.1,moderate rain
168,Zaria,NG,11.1113,7.7227,91.4,10,97,11.54,overcast clouds
169,Komsomolskiy,UZ,40.4272,71.7189,41.72,60,40,2.3,scattered clouds
170,Ugep,NG,5.8086,8.0812,98.71,25,5,4.88,clear sky
171,Halifax,CA,44.6453,-63.5724,27.21,61,20,8.05,few clouds
172,Mumford,GH,5.2618,-0.759,83.43,68,15,11.95,few clouds
173,Portland,US,45.5234,-122.6762,37.38,83,20,3.44,few clouds
174,Tazovskiy,RU,67.4667,78.7,0.01,98,47,8.05,scattered clouds
175,Sri Madhopur,IN,27.4667,75.6,58.86,27,0,5.28,clear sky
176,Arlit,NE,18.7369,7.3853,88.77,6,17,6.4,few clouds
177,Vardo,NO,70.3705,31.1107,22.98,86,20,4.61,light snow
178,Hwange,ZW,-18.3693,26.5019,80.33,69,62,5.08,broken clouds
179,Yagodnoye,RU,62.55,149.6667,-21.86,100,98,2.8,overcast clouds
180,Meulaboh,ID,4.1363,96.1285,78.31,84,99,0.67,overcast clouds
181,Ishigaki,JP,24.3448,124.1572,64.53,94,100,11.5,overcast clouds
182,Esna,EG,25.2934,32.554,61.88,25,0,9.46,clear sky
183,Sergeyevka,KZ,53.88,67.4158,-3.53,97,5,5.1,clear sky
184,Rio Tercero,AR,-32.173,-64.1141,77.79,60,40,2.37,scattered clouds
185,Amapa,BR,1.0,-52.0,80.89,71,99,4.43,overcast clouds
186,Kodiak,US,57.79,-152.4072,27.91,86,20,5.75,few clouds
187,Nanortalik,GL,60.1432,-45.2371,19.13,74,100,20.6,overcast clouds
188,Kaitangata,NZ,-46.2817,169.8464,61.47,95,100,2.19,overcast clouds
189,Pundaguitan,PH,6.3711,126.1689,80.31,79,44,16.53,scattered clouds
190,Ampanihy,MG,-24.7,44.75,75.94,74,81,12.66,broken clouds
191,Comodoro Rivadavia,AR,-45.8667,-67.5,80.46,19,0,13.8,clear sky
192,Oranjemund,NA,-28.55,16.4333,68.27,67,0,24.74,clear sky
193,Acajutla,SV,13.5928,-89.8275,85.41,48,7,4.68,clear sky
194,Coquimbo,CL,-29.9533,-71.3436,67.73,72,20,16.11,few clouds
195,Den Helder,NL,52.9599,4.7593,47.01,93,100,15.99,overcast clouds
196,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,74,100,4.61,overcast clouds
197,Denia,ES,38.8408,0.1057,59.63,58,0,5.01,clear sky
198,Guerrero Negro,MX,27.9769,-114.0611,57.78,55,23,2.77,few clouds
199,Letterkenny,IE,54.95,-7.7333,51.69,77,94,19.13,overcast clouds
200,Penzance,GB,50.1186,-5.5371,51.12,87,40,18.41,scattered clouds
201,Lakes Entrance,AU,-37.8811,147.981,49.15,84,48,9.57,scattered clouds
202,Maceio,BR,-9.6658,-35.7353,87.24,66,75,11.5,broken clouds
203,Honiara,SB,-9.4333,159.95,77.25,88,100,2.1,overcast clouds
204,Inta,RU,66.0317,60.1659,13.91,96,93,6.91,overcast clouds
205,Ust-Koksa,RU,50.2696,85.6108,8.42,88,27,1.21,scattered clouds
206,Wexford,IE,52.3342,-6.4575,54.12,94,100,14.0,overcast clouds
207,Te Anau,NZ,-45.4167,167.7167,61.39,98,93,2.71,light rain
208,Cockburn Town,TC,21.4612,-71.1419,78.76,61,20,17.27,few clouds
209,Florida,US,28.7505,-82.5001,73.9,88,100,0.0,overcast clouds
210,Nelson Bay,AU,-32.7167,152.15,75.25,97,0,4.0,clear sky
211,Filingue,NE,14.3521,3.3168,96.91,9,84,10.29,broken clouds
212,Zafra,ES,38.4167,-6.4167,55.29,42,0,5.57,clear sky
213,Qaqortoq,GL,60.7167,-46.0333,9.91,85,56,4.41,broken clouds
214,Goderich,CA,43.7501,-81.7165,30.9,69,65,20.71,broken clouds
215,Batagay,RU,67.6333,134.6333,-29.56,98,99,2.17,overcast clouds
216,Arman,RU,59.7,150.1667,-0.15,94,97,7.7,overcast clouds
217,Necochea,AR,-38.5473,-58.7368,73.18,66,80,10.96,light rain
218,Lashio,MM,22.9333,97.75,67.75,48,100,2.8,overcast clouds
219,Manaure,CO,11.7751,-72.4445,84.34,50,1,24.07,clear sky
220,Saint-Pierre,RE,-21.3393,55.4781,82.08,78,75,17.27,broken clouds
221,Springdale,US,36.1867,-94.1288,32.74,72,100,3.44,overcast clouds
222,Havoysund,NO,70.9963,24.6622,26.83,67,100,0.81,light snow
223,Maraa,BR,-1.8333,-65.3667,89.19,54,35,5.12,heavy intensity rain
224,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,74,75,9.22,broken clouds
225,Santa Cruz De Tenerife,ES,28.4682,-16.2546,68.61,64,20,14.97,few clouds
226,Bjorkelangen,NO,59.8848,11.5694,27.39,91,13,0.63,few clouds
227,Borovskoy,KZ,53.8,64.15,-2.06,91,91,2.8,overcast clouds
228,Ankang,CN,32.68,109.0172,39.63,52,87,1.61,overcast clouds
229,Barrow,US,71.2906,-156.7887,-5.78,84,100,13.8,light snow
230,Chuy,UY,-33.6971,-53.4616,81.68,55,83,10.98,broken clouds
231,Darhan,MN,49.4867,105.9228,-9.2,97,73,5.19,broken clouds
