,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
462,Tuensang,IN,26.2833,94.8333,56.1,73,3,3.18,clear sky
463,Lengshuijiang,CN,27.6881,111.4294,39.29,74,100,0.11,overcast clouds
464,Farafangana,MG,-22.8167,47.8333,76.41,77,89,9.04,overcast clouds
465,Zyryanka,RU,65.75,150.85,-36.56,100,90,4.47,overcast clouds
466,Pangody,RU,65.85,74.4859,4.37,96,19,7.94,few clouds
467,Ponta Delgada,PT,37.7333,-25.6667,61.52,72,20,10.36,few clouds
468,Umm Lajj,SA,25.0213,37.2685,67.91,51,0,11.3,clear sky
469,Luoyang,CN,34.6836,112.4536,31.84,68,4,3.33,clear sky
470,Angoram,PG,-4.0625,144.0661,75.65,88,100,1.28,overcast clouds
471,Thinadhoo,MV,0.5333,72.9333,81.43,66,44,14.56,scattered clouds
472,The Valley,AI,18.217,-63.0578,82.26,74,40,16.11,scattered clouds
473,Kpalime,TG,6.9,0.6333,96.33,28,1,3.62,clear sky
474,Vila Do Maio,CV,15.1333,-23.2167,77.79,74,57,18.39,broken clouds
475,Clinton,US,42.587,-82.9199,29.41,64,20,14.97,few clouds
476,Japura,ID,-0.3167,102.35,75.72,95,98,1.86,overcast clouds
477,Kutum,SD,14.2,24.6667,72.9,16,23,11.48,few clouds
478,Portachuelo,BO,-17.35,-63.4,76.1,87,100,5.79,overcast clouds
479,Lannion,FR,48.75,-3.4167,51.15,67,100,11.5,overcast clouds
480,Thunder Bay,CA,48.4001,-89.3168,-2.22,50,40,16.11,scattered clouds
481,Namie,JP,37.4833,141.0,33.71,69,100,9.13,overcast clouds
482,Luang Prabang,LA,19.8856,102.1347,68.9,49,42,1.54,scattered clouds
483,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.4,78,100,10.36,light snow
484,Cabedelo,BR,-6.9811,-34.8339,90.27,61,19,13.65,few clouds
485,Jibuti,DJ,11.5,42.5,72.88,61,7,11.59,clear sky
486,Constantine,DZ,36.365,6.6147,49.41,66,75,5.75,broken clouds
487,Matagami,CA,49.7502,-77.6328,-0.29,85,100,2.3,light snow
488,Morondava,MG,-20.2833,44.2833,81.37,80,93,6.15,overcast clouds
489,Port Moresby,PG,-9.4431,147.1797,76.42,94,75,5.75,broken clouds
490,Marrakesh,MA,31.6315,-8.0083,64.47,27,20,8.05,few clouds
491,Taltal,CL,-25.4,-70.4833,73.2,72,28,6.64,scattered clouds
492,Porto Novo,BJ,6.4965,2.6036,89.42,59,7,10.69,clear sky
493,Maniitsoq,GL,65.4167,-52.9,10.6,90,100,13.35,light snow
494,Rodrigues Alves,BR,-7.738,-72.6509,77.2,99,98,2.48,overcast clouds
495,Severnyy,RU,50.677,36.5532,32.04,93,100,8.95,light snow
496,Faya,SA,18.3851,42.4509,57.31,73,0,2.06,clear sky
497,Ostrovnoy,RU,68.0531,39.5131,20.53,89,100,5.93,light snow
498,Pitea,SE,65.3172,21.4794,14.09,92,12,7.18,few clouds
499,Ghanzi,BW,-21.5667,21.7833,73.67,69,60,2.42,broken clouds
500,Bilibino,RU,68.0546,166.4372,1.6,95,100,1.97,overcast clouds
501,Shestakovo,RU,56.4915,103.96,3.69,98,100,4.7,overcast clouds
502,Waingapu,ID,-9.6567,120.2641,76.35,86,100,9.35,overcast clouds
503,Aneho,TG,6.2333,1.6,84.4,77,8,9.78,clear sky
504,De-Kastri,RU,51.4667,140.7833,-10.34,99,86,5.48,overcast clouds
505,Vila Velha,BR,-20.3297,-40.2925,87.75,70,20,17.27,few clouds
506,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.36,68,52,10.8,broken clouds
507,Ahipara,NZ,-35.1667,173.1667,70.43,97,98,6.31,overcast clouds
508,Yar-Sale,RU,66.8333,70.8333,4.82,95,23,8.43,few clouds
509,Mujiayingzi,CN,42.1167,118.7833,16.25,28,100,5.17,overcast clouds
510,Garowe,SO,8.4054,48.4845,70.39,64,0,15.26,clear sky
511,Voh,NC,-20.9667,164.7,74.52,83,95,5.44,overcast clouds
512,Ginda,IN,30.6945,78.4932,48.72,32,100,5.82,overcast clouds
513,Berbera,SO,10.4396,45.0143,76.73,65,5,7.27,clear sky
514,Annonay,FR,45.2397,4.6708,44.29,83,7,7.23,clear sky
515,Kemijarvi,FI,66.7131,27.4306,14.32,95,97,5.48,overcast clouds
516,Nanchang,CN,28.6833,115.8833,40.44,82,100,4.81,overcast clouds
517,Lazarev,RU,52.225,141.5131,-20.76,97,100,3.6,overcast clouds
518,Sumkino,RU,58.1108,68.3244,11.32,96,99,3.2,overcast clouds
519,Phan Thiet,VN,10.9333,108.1,74.08,87,100,8.79,overcast clouds
520,Mayo,US,38.8876,-76.5119,42.96,52,0,6.91,clear sky
521,Chernyshevskiy,RU,63.0128,112.4714,-6.81,98,100,3.87,overcast clouds
522,Batemans Bay,AU,-35.7167,150.1833,60.04,64,1,5.61,clear sky
523,Omsukchan,RU,62.5333,155.8,-18.58,99,39,2.48,scattered clouds
524,Vakhsh,TJ,37.7149,68.8346,48.42,93,75,4.47,broken clouds
525,Alexandria,EG,31.2156,29.9553,57.16,67,40,9.22,scattered clouds
526,Azangaro,PE,-14.9167,-70.2167,56.14,57,100,5.61,overcast clouds
527,Piacabucu,BR,-10.4056,-36.4344,83.03,65,70,12.57,broken clouds
528,Viedma,AR,-40.8135,-62.9967,87.3,28,42,6.73,light rain
529,Boyolangu,ID,-8.1181,111.8935,73.99,93,100,6.78,overcast clouds
530,Ocala,US,29.1872,-82.1401,82.99,63,0,8.05,clear sky
531,Ostersund,SE,63.1792,14.6357,18.05,100,100,0.0,overcast clouds
532,Paungde,MM,18.4833,95.5,72.21,44,14,3.06,few clouds
533,Manacapuru,BR,-3.2997,-60.6206,84.34,73,26,5.77,scattered clouds
534,Makakilo City,US,21.3469,-158.0858,76.6,82,0,4.61,clear sky
535,Tabuk,PH,17.4189,121.4443,71.37,96,99,2.46,overcast clouds
536,Baruun-Urt,MN,46.6806,113.2792,-3.87,84,16,5.91,few clouds
537,Balaguer,ES,41.7912,0.8109,44.35,82,0,1.39,clear sky
538,Punta De Piedra,VE,7.6176,-71.4916,94.8,23,5,5.66,clear sky
539,Constitucion,CL,-35.3333,-72.4167,74.14,47,7,18.77,clear sky
540,Jiaojiang,CN,28.6803,121.4428,45.0,73,100,6.06,overcast clouds
541,Bahia Blanca,AR,-38.7196,-62.2724,80.67,33,42,13.82,scattered clouds
542,Smithers,CA,54.7804,-127.1743,26.92,86,100,5.75,light snow
543,Phuket,TH,8.0,98.25,75.42,100,20,2.3,few clouds
544,Shache,CN,38.4167,77.2406,20.73,85,6,5.03,clear sky
545,Pangai,TO,-19.8,-174.35,78.91,89,100,11.5,moderate rain
546,Hovd,MN,48.0056,91.6419,-1.17,85,4,2.51,clear sky
547,Visby,SE,57.6409,18.296,32.22,80,75,14.97,broken clouds
548,Dudinka,RU,69.4058,86.1778,13.62,95,100,9.93,light snow
549,Gari,RU,59.4307,62.3497,3.45,99,86,4.61,overcast clouds
550,El Alto,PE,-4.2714,-81.2147,85.66,69,43,13.98,scattered clouds
551,Inverell,AU,-29.7833,151.1167,68.16,93,0,3.0,clear sky
552,Moerai,PF,-22.4333,-151.3333,79.18,78,2,13.4,clear sky
553,Suriapet,IN,17.15,79.6167,68.34,35,39,2.64,scattered clouds
554,Baldone,LV,56.7428,24.3944,33.55,77,99,10.85,overcast clouds
555,Nouadhibou,MR,20.931,-17.0347,69.78,43,55,10.36,dust
556,Jilin,CN,43.0,126.0,-8.07,99,24,2.62,few clouds
557,Agadez,NE,19.75,10.25,64.8,17,100,6.26,overcast clouds
558,Bol,TD,13.4586,14.7147,76.57,40,99,14.72,overcast clouds
559,Miyako,JP,39.6367,141.9525,25.72,65,70,7.29,broken clouds
560,Nishihara,JP,26.1842,127.7558,61.88,72,100,3.44,overcast clouds
561,Yamada,JP,39.4667,141.95,25.09,67,36,4.74,scattered clouds
562,Sorong,ID,-0.8833,131.25,79.36,84,100,10.42,moderate rain
563,Playa Del Carmen,MX,20.6274,-87.0799,84.22,70,40,9.22,scattered clouds
564,Bayan,CN,46.0833,127.4,-14.22,99,24,1.92,few clouds
565,Grindavik,IS,63.8424,-22.4338,35.33,87,100,40.06,light snow
566,Price,US,39.5994,-110.8107,25.86,54,0,4.61,clear sky
567,Matay,EG,28.419,30.7792,54.14,43,0,6.04,clear sky
568,Aykhal,RU,66.0,111.5,-22.04,100,100,4.23,overcast clouds
569,Campo Maior,BR,-4.8278,-42.1686,84.96,64,100,2.77,overcast clouds
570,Maningrida,AU,-12.0667,134.2667,78.44,88,99,9.6,moderate rain
571,Nakusp,CA,50.2499,-117.8023,26.94,93,100,2.3,overcast clouds
572,Nemuro,JP,43.3236,145.575,15.76,73,21,18.57,few clouds
573,Steamboat Springs,US,40.485,-106.8317,15.39,85,0,0.0,clear sky
574,Tshikapa,CD,-6.4167,20.8,72.5,92,24,3.18,few clouds
575,Festus,US,38.2206,-90.396,46.53,29,15,7.76,few clouds
576,Khandyga,RU,62.6667,135.6,-31.58,99,100,2.55,overcast clouds
577,Round Rock,US,30.5083,-97.6789,36.57,91,100,10.36,moderate rain
578,Sabang,ID,5.8933,95.3214,79.81,79,92,4.79,overcast clouds
579,Lakhdenpokhya,RU,61.5198,30.1992,24.6,97,100,5.19,light snow
580,Kudahuvadhoo,MV,2.6708,72.8944,80.28,67,12,11.5,few clouds
581,Vanavara,RU,60.34,102.2797,8.6,94,100,7.87,overcast clouds
582,Puerto El Triunfo,SV,13.2833,-88.55,95.86,40,62,9.86,broken clouds
583,Mawlaik,MM,23.6333,94.4167,64.36,68,70,1.57,broken clouds
584,Sigmaringen,DE,48.0833,9.2167,40.89,86,100,9.71,overcast clouds
585,Thanatpin,MM,17.2119,96.3033,75.38,64,40,4.27,scattered clouds
586,Muzhi,RU,65.3667,64.6667,1.0,100,94,2.39,overcast clouds
587,Kulhudhuffushi,MV,6.6221,73.07,80.17,75,100,10.0,overcast clouds
588,Kerouane,GN,9.2667,-9.0167,84.24,13,0,2.66,clear sky
589,Balkanabat,TM,39.5108,54.3671,47.91,66,22,11.41,few clouds
590,General Cepeda,MX,25.3833,-101.45,65.5,33,11,13.56,few clouds
591,Mikkeli,FI,61.6886,27.2723,24.91,93,100,1.14,overcast clouds
592,Erzurum,TR,40.0,41.5,20.88,96,100,7.74,light snow
593,La Playona,HN,15.1167,-88.9833,89.17,54,31,5.19,scattered clouds
594,Pemangkat,ID,1.1667,108.9667,76.68,88,100,2.71,overcast clouds
595,Mbigou,GA,-1.9005,11.906,73.65,77,92,0.54,light rain
596,Juneau,US,58.3019,-134.4197,31.21,100,100,6.2,snow
597,Roald,NO,62.5833,6.1333,36.75,64,0,13.8,clear sky
598,Eureka,US,40.8021,-124.1637,58.19,54,100,4.79,overcast clouds
599,Gorontalo,ID,0.5412,123.0595,73.85,93,100,3.78,overcast clouds
600,Redencao,BR,-4.2258,-38.7306,86.77,59,80,6.22,broken clouds
601,Kruisfontein,ZA,-34.0033,24.7314,69.89,88,5,4.74,clear sky
602,Ozernovskiy,RU,51.5,156.5167,27.01,78,100,36.66,light snow
603,Hirna,ET,9.2167,41.1,62.58,41,100,4.38,overcast clouds
604,Buluang,PH,13.3068,123.3425,73.49,93,27,5.08,scattered clouds
605,Andujar,ES,38.0392,-4.0508,50.7,50,0,2.44,clear sky
606,Kitale,KE,1.0157,35.0062,62.98,40,19,7.61,few clouds
607,Mlalo,TZ,-4.9333,38.9333,74.12,91,20,4.34,light rain
608,Togur,RU,58.3631,82.8265,-3.87,100,94,3.24,overcast clouds
609,Awbari,LY,26.5921,12.7805,56.17,36,100,10.74,overcast clouds
610,Vestmannaeyjar,IS,63.4427,-20.2734,37.22,75,100,40.33,overcast clouds
611,Cardston,CA,49.2,-113.3019,35.89,44,100,9.22,overcast clouds
612,Arawa,PG,-6.2132,155.5367,76.71,92,100,1.43,light rain
613,Kissidougou,GN,9.1848,-10.0999,84.15,14,61,3.94,broken clouds
614,Worland,US,44.0169,-107.9554,29.55,73,0,1.99,clear sky
615,Neepawa,CA,50.2289,-99.4664,-16.2,75,6,5.55,clear sky
616,Flinders,AU,-34.5833,150.8552,68.38,56,0,7.67,clear sky
617,Taihe,CN,30.8712,105.3845,47.5,77,98,6.73,overcast clouds
618,Atar,MR,20.5169,-13.0499,73.47,11,6,9.86,clear sky
619,Pauini,BR,-7.7136,-66.9764,76.42,92,95,3.83,moderate rain
620,Burgeo,CA,47.6167,-57.6152,23.14,68,100,21.88,light snow
621,Tual,ID,-5.6667,132.75,82.26,80,100,15.48,overcast clouds
622,Saint-Augustin,CA,51.226,-58.6502,3.43,80,100,2.98,overcast clouds
623,Luanda,AO,-8.8368,13.2343,82.4,78,40,16.11,scattered clouds
624,Chulman,RU,56.8479,124.9104,-13.14,100,100,2.33,overcast clouds
625,Mercedes,AR,-34.6515,-59.4307,76.03,62,32,7.31,scattered clouds
626,Vavoua,CI,7.3819,-6.4778,84.97,30,6,3.44,clear sky
627,Rundu,NA,-17.9333,19.7667,68.04,91,100,6.35,light rain
628,Dandong,CN,40.1292,124.3947,20.12,40,100,5.1,overcast clouds
629,Marawi,PH,7.9986,124.2928,65.89,95,100,0.85,overcast clouds
630,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,59,0,11.5,clear sky
631,Kurunegala,LK,7.4863,80.3623,71.44,99,100,2.17,overcast clouds
632,Afikpo,NG,5.8931,7.9374,90.34,38,57,2.1,broken clouds
633,Wukari,NG,7.85,9.7833,85.87,16,51,5.64,broken clouds
634,Kpandae,GH,8.4689,-0.0113,92.01,26,5,4.27,clear sky
635,Oga,IT,46.4631,10.347,32.54,95,65,7.31,broken clouds
636,Isangel,VU,-19.55,169.2667,80.26,85,12,6.46,few clouds
637,Khorramshahr,IR,30.4397,48.1664,60.76,77,0,4.61,clear sky
638,Ceres,US,37.5949,-120.9577,55.04,78,0,0.0,haze
639,Karla,EE,59.3723,24.9275,30.56,64,100,9.22,overcast clouds
640,Pangnirtung,CA,66.1451,-65.7125,-18.4,69,100,2.3,light snow
641,Pascagoula,US,30.3658,-88.5561,64.42,82,100,8.05,overcast clouds
642,Copiapo,CL,-27.3667,-70.3333,71.29,26,0,11.74,clear sky
643,Nador,MA,35.174,-2.9287,55.47,94,100,4.61,overcast clouds
644,Almaznyy,RU,48.0448,40.045,32.22,89,98,7.31,overcast clouds
645,Haines Junction,CA,60.7522,-137.5108,-0.45,85,100,0.0,overcast clouds
646,Tambura,SS,5.6,27.4667,83.17,18,11,6.93,few clouds
647,Kuching,MY,1.55,110.3333,80.02,98,40,2.3,light rain
648,Jieshi,CN,22.8134,115.8257,59.59,85,95,17.81,overcast clouds
649,Lakatoro,VU,-16.0999,167.4164,80.35,80,27,5.12,scattered clouds
650,Papetoai,PF,-17.4961,-149.8729,85.59,80,0,18.32,clear sky
651,Knyaze-Volkonskoye,RU,48.4642,135.4567,-5.46,98,17,5.7,few clouds
652,Bundaberg,AU,-24.85,152.35,74.21,99,12,1.01,few clouds
653,Formosa Do Rio Preto,BR,-11.0483,-45.1931,82.4,62,100,0.85,overcast clouds
654,Uaua,BR,-9.8414,-39.4817,86.56,41,100,10.51,overcast clouds
655,Kodinsk,RU,58.6881,99.1844,8.6,96,100,4.68,overcast clouds
656,Kalmunai,LK,7.4167,81.8167,76.35,91,100,6.06,overcast clouds
657,Gat,IL,31.61,34.7642,54.28,100,98,7.11,overcast clouds
658,Ulaanbaatar,MN,47.9077,106.8832,-21.87,76,38,2.24,scattered clouds
659,Malazgirt,TR,39.1427,42.5401,26.19,90,99,5.97,overcast clouds
660,Tabou,CI,4.423,-7.3528,80.64,81,5,7.76,clear sky
661,Ust-Kuyga,RU,70.0167,135.6,-20.97,95,99,4.03,overcast clouds
662,Mangan,IN,27.5167,88.5333,57.43,30,0,6.42,clear sky
663,Dicabisagan,PH,17.0818,122.4157,74.95,88,90,6.08,overcast clouds
664,Kibi,GH,6.1649,-0.5538,80.65,58,41,4.63,scattered clouds
665,Bozhou,CN,33.8772,115.7703,31.68,47,55,3.76,broken clouds
666,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,81.34,83,65,2.51,broken clouds
667,Oriximina,BR,-1.7656,-55.8661,83.17,65,95,5.64,overcast clouds
668,Rawson,AR,-43.3002,-65.1023,79.9,44,84,13.44,broken clouds
669,Xining,CN,36.6167,101.7667,25.38,31,0,3.53,clear sky
670,Celestun,MX,20.8667,-90.4,81.54,65,88,8.14,overcast clouds
671,Tucumcari,US,35.1717,-103.725,51.94,28,0,8.05,clear sky
672,Katakwi,UG,1.8911,33.9661,80.47,28,96,11.72,overcast clouds
673,Lahij,YE,13.1667,44.5833,70.68,77,33,4.85,scattered clouds
674,Kroya,ID,-7.6331,109.2461,76.26,88,93,4.21,light rain
675,Kapustin Yar,RU,48.5831,45.7372,26.4,93,100,2.26,overcast clouds
676,Bontang,ID,0.1333,117.5,74.46,96,100,4.83,light rain
677,Fukue,JP,32.6881,128.8419,49.01,59,73,11.72,broken clouds
678,Akureyri,IS,65.6835,-18.0878,31.19,97,100,7.99,light snow
679,Airai,TL,-8.9266,125.4092,61.21,96,100,2.95,overcast clouds
680,Diamantino,BR,-14.4086,-56.4461,84.63,68,74,0.76,broken clouds
681,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,82,20,13.4,few clouds
682,Emerald,AU,-23.5333,148.1667,81.34,54,100,10.36,overcast clouds
683,Beringovskiy,RU,63.05,179.3167,10.85,95,100,12.12,overcast clouds
684,Sechura,PE,-5.5569,-80.8222,85.03,54,30,13.33,scattered clouds
685,Koraput,IN,18.8167,82.7167,59.43,44,13,3.96,few clouds
686,Bushehr,IR,28.9684,50.8385,64.49,88,40,9.22,scattered clouds
687,Konevo,RU,62.1215,39.3192,23.97,97,100,2.86,overcast clouds
688,French Harbor,HN,16.35,-86.4333,82.4,76,20,9.22,few clouds
689,Nantucket,US,41.2835,-70.0995,35.74,53,0,12.66,clear sky
690,Kalmanka,RU,52.8992,83.5433,-1.34,99,39,4.36,scattered clouds
691,Tessalit,ML,20.1986,1.0114,68.92,11,50,12.53,scattered clouds
692,Fuling,CN,29.7022,107.3919,49.06,78,100,2.24,overcast clouds
693,Invercargill,NZ,-46.4,168.35,62.42,98,89,2.66,overcast clouds
